"Order ID","Customer Name","Customer Email","Loyalty Level"
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-152156,"Claire Gute",alice@example.com,Gold
CA-2016-138688,"Darrin Van Huff",charlie@example.com,Platinum
CA-2016-138688,"Darrin Van Huff",charlie@example.com,Platinum
CA-2016-138688,"Darrin Van Huff",charlie@example.com,Platinum
CA-2017-114412,"Andrew Allen",bob@example.com,Silver
